order	cross_entropy	input_file	architecture	number_of_states	threads	fit	params_json	train_opt_json	no_mean	log_file	time	memory
23	39.15651260140093	gaussian.npy	escape_chain	16	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	2.84	168028
24	33.10105024096453	gaussian.npy	escape_chain	18	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	4.01	168144
25	27.368970163988838	gaussian.npy	escape_chain	20	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	3.57	168136
26	19.935593344125788	gaussian.npy	escape_chain	22	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	3.76	168392
27	13.932558511769914	gaussian.npy	escape_chain	24	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	5.07	168056
28	8.003708321286151	gaussian.npy	escape_chain	26	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	5.79	168188
29	6.168717181486278	gaussian.npy	escape_chain	28	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	4.89	168400
30	3.86491910075737	gaussian.npy	escape_chain	30	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	6.98	168512
31	2.931269251096165	gaussian.npy	escape_chain	32	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	6.33	168216
32	3.0174687330010332	gaussian.npy	escape_chain	34	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	7.54	168340
33	2.912029034461872	gaussian.npy	escape_chain	36	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	8.01	167732
34	2.8924744349747367	gaussian.npy	escape_chain	38	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	8.89	168388
35	2.858788829828669	gaussian.npy	escape_chain	40	1	d	"{""ftol"": 1e-6,""gtol"": 1e-6,""maxiter"": 15000,""maxcor"": 10}"	"{ ""sample_size"": 500, ""number_of_tries"": 4, ""percent_to_visualize"": 100 }"	True	trainig_log	8.60	168376
